<<<<<<< HEAD
//Tabla 2 de valores de funcionamiento;;;;;;;;;;;;
//;;;;;;;;;;;;
//;;;;Avance por rpm y temperatura;;;;;;;;
//;RPM;0;18;27;36;45;55;64;73;82;91;100
;800;;;;7;7;7;7;7;7;7;7
;1000;;;;7;7;7;7;7;7;7;7
;1200;;;;8;8;8;8;8;8;8;8
;1500;;;;8;8;8;8;8;8;8;8
;1700;;;;8;8;8;8;8;8;8;8
;2000;;;;12;12;12;12;12;12;12;12
;2200;;;;12;12;12;12;12;12;12;12
;2500;;;;15;15;15;15;15;15;15;15
;2700;;;;15;15;15;15;15;15;15;15
;3000;;;;15;15;15;15;15;15;15;15
;3200;;;;18;18;18;18;18;18;18;18
;3500;;;;18;18;18;18;18;18;18;18
;3700;;;;18;18;18;18;18;18;18;18
;4000;;;;23;23;23;23;23;23;23;23
;4500;;;;25;25;25;25;25;25;25;25
;5000;;;;30;30;30;30;30;30;30;30
;5500;;;;32;32;32;32;32;32;32;32
;6000;;;;37;37;37;37;37;37;37;37
=======
//Tabla 2 de valores de funcionamiento;;;;;;;;;;;
//;;;;;;;;;;;
//;;;;Avance por rpm y temperatura;;;;;;;
//;RPM ;0 ;18;27;36;45;55;64;73;82;91;100
  ;800 ;2 ;2 ;2 ;3 ;4 ;6 ;6 ;7 ;8 ;8 ;8 ;
  ;1000;3 ;3 ;3 ;4 ;5 ;8 ;8 ;8 ;10;10;10;
  ;1200;5 ;5 ;5 ;5 ;6 ;9 ;9 ;10;11;12;12;
  ;1500;8 ;8 ;8 ;8 ;8 ;10;10;11;13;14;14;
  ;1700;10;10;10;10;10;11;11;12;14;15;15;
  ;2000;12;12;12;12;12;13;13;14;15;16;16;
  ;2200;13;14;14;14;14;15;15;16;17;18;18;
  ;2500;15;16;16;16;16;17;17;17;18;19;19;
  ;2700;17;18;18;18;18;19;19;19;20;21;21;
  ;3000;19;20;20;20;20;21;21;21;22;23;23;
  ;3200;21;22;22;22;22;23;23;23;24;25;25;
  ;3500;23;24;24;24;24;25;25;25;26;27;27;
  ;3700;25;26;26;26;26;27;27;27;28;29;29;
  ;4000;26;28;28;28;28;29;29;29;30;31;31;
  ;4500;28;30;30;30;30;31;31;31;32;33;33;
  ;5000;30;32;33;33;33;34;34;34;35;36;36;
  ;5500;32;34;34;34;34;34;34;35;37;38;38;
  ;6000;34;35;35;35;35;35;35;36;38;39;39;
>>>>>>> origin/master
